customer_id,event_date,response
1,2025-10-02,Ignored
1,2025-10-02,Clicked
1,2025-10-02,Opened
1,2025-10-02,Opened
2,2025-10-02,Clicked
2,2025-10-02,Opened
3,2025-10-02,Ignored
3,2025-10-02,Opened
4,2025-10-02,Opened
4,2025-10-02,Ignored
4,2025-10-02,Opened
5,2025-10-02,Opened
5,2025-10-02,Converted
5,2025-10-02,Converted
6,2025-10-02,Converted
6,2025-10-02,Clicked
6,2025-10-02,Clicked
6,2025-10-02,Opened
7,2025-10-02,Opened
7,2025-10-02,Opened
8,2025-10-02,Opened
8,2025-10-02,Ignored
8,2025-10-02,Clicked
8,2025-10-02,Ignored
8,2025-10-02,Converted
9,2025-10-02,Clicked
9,2025-10-02,Opened
9,2025-10-02,Converted
10,2025-10-02,Clicked
10,2025-10-02,Opened
10,2025-10-02,Opened
11,2025-10-02,Opened
11,2025-10-02,Clicked
12,2025-10-02,Opened
12,2025-10-02,Converted
12,2025-10-02,Opened
12,2025-10-02,Converted
12,2025-10-02,Opened
13,2025-10-02,Clicked
13,2025-10-02,Ignored
14,2025-10-02,Opened
14,2025-10-02,Clicked
14,2025-10-02,Converted
14,2025-10-02,Opened
15,2025-10-02,Clicked
15,2025-10-02,Opened
16,2025-10-02,Clicked
16,2025-10-02,Opened
16,2025-10-02,Opened
17,2025-10-02,Opened
17,2025-10-02,Converted
17,2025-10-02,Converted
17,2025-10-02,Converted
17,2025-10-02,Opened
18,2025-10-02,Clicked
19,2025-10-02,Opened
19,2025-10-02,Converted
19,2025-10-02,Opened
20,2025-10-02,Ignored
20,2025-10-02,Clicked
20,2025-10-02,Converted
20,2025-10-02,Opened
21,2025-10-02,Opened
21,2025-10-02,Clicked
21,2025-10-02,Clicked
21,2025-10-02,Converted
22,2025-10-02,Clicked
22,2025-10-02,Clicked
22,2025-10-02,Clicked
22,2025-10-02,Converted
22,2025-10-02,Opened
23,2025-10-02,Clicked
23,2025-10-02,Ignored
24,2025-10-02,Converted
25,2025-10-02,Converted
26,2025-10-02,Clicked
26,2025-10-02,Converted
26,2025-10-02,Opened
26,2025-10-02,Opened
26,2025-10-02,Converted
27,2025-10-02,Converted
28,2025-10-02,Opened
28,2025-10-02,Ignored
28,2025-10-02,Opened
28,2025-10-02,Opened
29,2025-10-02,Opened
30,2025-10-02,Opened
30,2025-10-02,Clicked
30,2025-10-02,Ignored
31,2025-10-02,Converted
31,2025-10-02,Clicked
31,2025-10-02,Opened
31,2025-10-02,Converted
32,2025-10-02,Opened
33,2025-10-02,Opened
33,2025-10-02,Opened
33,2025-10-02,Opened
33,2025-10-02,Ignored
33,2025-10-02,Clicked
34,2025-10-02,Opened
34,2025-10-02,Opened
34,2025-10-02,Converted
34,2025-10-02,Opened
34,2025-10-02,Opened
35,2025-10-02,Opened
36,2025-10-02,Ignored
37,2025-10-02,Opened
37,2025-10-02,Clicked
37,2025-10-02,Clicked
37,2025-10-02,Clicked
37,2025-10-02,Converted
38,2025-10-02,Ignored
39,2025-10-02,Clicked
39,2025-10-02,Clicked
39,2025-10-02,Clicked
39,2025-10-02,Clicked
40,2025-10-02,Clicked
40,2025-10-02,Opened
41,2025-10-02,Clicked
41,2025-10-02,Converted
41,2025-10-02,Ignored
42,2025-10-02,Clicked
42,2025-10-02,Opened
42,2025-10-02,Ignored
42,2025-10-02,Ignored
43,2025-10-02,Opened
44,2025-10-02,Converted
44,2025-10-02,Converted
44,2025-10-02,Ignored
44,2025-10-02,Opened
45,2025-10-02,Opened
45,2025-10-02,Opened
46,2025-10-02,Opened
46,2025-10-02,Opened
46,2025-10-02,Opened
46,2025-10-02,Converted
47,2025-10-02,Ignored
47,2025-10-02,Clicked
47,2025-10-02,Converted
47,2025-10-02,Opened
48,2025-10-02,Clicked
48,2025-10-02,Clicked
49,2025-10-02,Opened
49,2025-10-02,Opened
49,2025-10-02,Ignored
49,2025-10-02,Clicked
50,2025-10-02,Clicked
51,2025-10-02,Ignored
51,2025-10-02,Opened
51,2025-10-02,Converted
51,2025-10-02,Ignored
52,2025-10-02,Ignored
53,2025-10-02,Opened
53,2025-10-02,Clicked
53,2025-10-02,Clicked
53,2025-10-02,Opened
53,2025-10-02,Opened
54,2025-10-02,Clicked
54,2025-10-02,Opened
54,2025-10-02,Opened
55,2025-10-02,Converted
55,2025-10-02,Clicked
55,2025-10-02,Opened
56,2025-10-02,Opened
56,2025-10-02,Ignored
57,2025-10-02,Opened
58,2025-10-02,Clicked
58,2025-10-02,Converted
58,2025-10-02,Clicked
59,2025-10-02,Opened
60,2025-10-02,Opened
60,2025-10-02,Clicked
61,2025-10-02,Opened
62,2025-10-02,Clicked
62,2025-10-02,Clicked
62,2025-10-02,Opened
62,2025-10-02,Opened
62,2025-10-02,Converted
63,2025-10-02,Converted
63,2025-10-02,Clicked
63,2025-10-02,Converted
63,2025-10-02,Opened
64,2025-10-02,Clicked
64,2025-10-02,Converted
64,2025-10-02,Opened
64,2025-10-02,Converted
65,2025-10-02,Opened
65,2025-10-02,Opened
65,2025-10-02,Opened
65,2025-10-02,Opened
66,2025-10-02,Clicked
66,2025-10-02,Opened
66,2025-10-02,Converted
66,2025-10-02,Clicked
66,2025-10-02,Ignored
67,2025-10-02,Ignored
68,2025-10-02,Clicked
68,2025-10-02,Ignored
69,2025-10-02,Ignored
70,2025-10-02,Converted
71,2025-10-02,Ignored
71,2025-10-02,Opened
71,2025-10-02,Converted
71,2025-10-02,Converted
72,2025-10-02,Opened
72,2025-10-02,Opened
72,2025-10-02,Opened
72,2025-10-02,Opened
72,2025-10-02,Converted
73,2025-10-02,Opened
74,2025-10-02,Clicked
74,2025-10-02,Opened
74,2025-10-02,Converted
75,2025-10-02,Opened
76,2025-10-02,Clicked
76,2025-10-02,Opened
76,2025-10-02,Ignored
77,2025-10-02,Converted
78,2025-10-02,Converted
79,2025-10-02,Converted
79,2025-10-02,Clicked
80,2025-10-02,Ignored
81,2025-10-02,Opened
82,2025-10-02,Opened
82,2025-10-02,Ignored
82,2025-10-02,Clicked
82,2025-10-02,Opened
82,2025-10-02,Ignored
83,2025-10-02,Ignored
83,2025-10-02,Opened
84,2025-10-02,Ignored
84,2025-10-02,Clicked
85,2025-10-02,Converted
85,2025-10-02,Clicked
85,2025-10-02,Clicked
85,2025-10-02,Opened
85,2025-10-02,Clicked
86,2025-10-02,Clicked
86,2025-10-02,Clicked
86,2025-10-02,Clicked
86,2025-10-02,Clicked
86,2025-10-02,Opened
87,2025-10-02,Clicked
87,2025-10-02,Opened
88,2025-10-02,Clicked
88,2025-10-02,Opened
88,2025-10-02,Converted
89,2025-10-02,Converted
89,2025-10-02,Opened
90,2025-10-02,Clicked
91,2025-10-02,Ignored
91,2025-10-02,Converted
91,2025-10-02,Converted
91,2025-10-02,Converted
91,2025-10-02,Clicked
92,2025-10-02,Ignored
92,2025-10-02,Converted
92,2025-10-02,Converted
93,2025-10-02,Clicked
93,2025-10-02,Clicked
93,2025-10-02,Opened
93,2025-10-02,Clicked
94,2025-10-02,Converted
94,2025-10-02,Clicked
94,2025-10-02,Ignored
95,2025-10-02,Opened
96,2025-10-02,Clicked
96,2025-10-02,Converted
96,2025-10-02,Clicked
97,2025-10-02,Opened
97,2025-10-02,Converted
97,2025-10-02,Converted
97,2025-10-02,Clicked
98,2025-10-02,Opened
98,2025-10-02,Clicked
99,2025-10-02,Ignored
99,2025-10-02,Ignored
99,2025-10-02,Opened
99,2025-10-02,Clicked
100,2025-10-02,Opened
100,2025-10-02,Opened
100,2025-10-02,Clicked
100,2025-10-02,Opened
101,2025-10-02,Opened
101,2025-10-02,Clicked
101,2025-10-02,Clicked
101,2025-10-02,Clicked
102,2025-10-02,Clicked
103,2025-10-02,Clicked
104,2025-10-02,Converted
104,2025-10-02,Opened
104,2025-10-02,Converted
104,2025-10-02,Clicked
105,2025-10-02,Clicked
105,2025-10-02,Opened
106,2025-10-02,Clicked
106,2025-10-02,Opened
106,2025-10-02,Ignored
106,2025-10-02,Clicked
107,2025-10-02,Ignored
107,2025-10-02,Opened
107,2025-10-02,Clicked
107,2025-10-02,Ignored
108,2025-10-02,Opened
109,2025-10-02,Clicked
109,2025-10-02,Ignored
109,2025-10-02,Clicked
109,2025-10-02,Clicked
109,2025-10-02,Clicked
110,2025-10-02,Opened
110,2025-10-02,Converted
110,2025-10-02,Converted
111,2025-10-02,Clicked
111,2025-10-02,Clicked
111,2025-10-02,Clicked
111,2025-10-02,Ignored
111,2025-10-02,Ignored
112,2025-10-02,Opened
112,2025-10-02,Converted
113,2025-10-02,Opened
113,2025-10-02,Opened
113,2025-10-02,Clicked
114,2025-10-02,Clicked
114,2025-10-02,Opened
115,2025-10-02,Opened
115,2025-10-02,Clicked
115,2025-10-02,Converted
116,2025-10-02,Ignored
117,2025-10-02,Opened
117,2025-10-02,Clicked
117,2025-10-02,Clicked
117,2025-10-02,Converted
117,2025-10-02,Ignored
118,2025-10-02,Opened
118,2025-10-02,Opened
118,2025-10-02,Clicked
118,2025-10-02,Clicked
118,2025-10-02,Clicked
119,2025-10-02,Clicked
120,2025-10-02,Opened
121,2025-10-02,Opened
121,2025-10-02,Clicked
122,2025-10-02,Opened
122,2025-10-02,Clicked
122,2025-10-02,Opened
122,2025-10-02,Opened
122,2025-10-02,Clicked
123,2025-10-02,Clicked
123,2025-10-02,Ignored
124,2025-10-02,Converted
124,2025-10-02,Opened
124,2025-10-02,Opened
124,2025-10-02,Converted
125,2025-10-02,Clicked
125,2025-10-02,Opened
126,2025-10-02,Converted
126,2025-10-02,Converted
126,2025-10-02,Clicked
127,2025-10-02,Converted
127,2025-10-02,Opened
127,2025-10-02,Opened
127,2025-10-02,Converted
127,2025-10-02,Opened
128,2025-10-02,Clicked
128,2025-10-02,Clicked
128,2025-10-02,Clicked
128,2025-10-02,Ignored
129,2025-10-02,Clicked
130,2025-10-02,Converted
130,2025-10-02,Clicked
131,2025-10-02,Opened
131,2025-10-02,Converted
131,2025-10-02,Converted
131,2025-10-02,Ignored
132,2025-10-02,Opened
132,2025-10-02,Clicked
133,2025-10-02,Converted
133,2025-10-02,Opened
133,2025-10-02,Opened
133,2025-10-02,Converted
134,2025-10-02,Opened
135,2025-10-02,Clicked
136,2025-10-02,Opened
136,2025-10-02,Ignored
136,2025-10-02,Converted
136,2025-10-02,Opened
137,2025-10-02,Ignored
137,2025-10-02,Opened
138,2025-10-02,Clicked
138,2025-10-02,Opened
138,2025-10-02,Opened
138,2025-10-02,Opened
139,2025-10-02,Ignored
139,2025-10-02,Clicked
139,2025-10-02,Opened
139,2025-10-02,Converted
140,2025-10-02,Converted
140,2025-10-02,Clicked
140,2025-10-02,Converted
140,2025-10-02,Clicked
140,2025-10-02,Clicked
141,2025-10-02,Converted
142,2025-10-02,Clicked
142,2025-10-02,Clicked
142,2025-10-02,Converted
142,2025-10-02,Ignored
142,2025-10-02,Opened
143,2025-10-02,Opened
143,2025-10-02,Converted
144,2025-10-02,Converted
144,2025-10-02,Ignored
144,2025-10-02,Clicked
144,2025-10-02,Clicked
144,2025-10-02,Opened
145,2025-10-02,Opened
146,2025-10-02,Clicked
146,2025-10-02,Clicked
147,2025-10-02,Clicked
147,2025-10-02,Opened
147,2025-10-02,Opened
148,2025-10-02,Opened
149,2025-10-02,Converted
149,2025-10-02,Ignored
149,2025-10-02,Converted
150,2025-10-02,Converted
150,2025-10-02,Ignored
150,2025-10-02,Converted
150,2025-10-02,Clicked
150,2025-10-02,Converted
151,2025-10-02,Opened
152,2025-10-02,Clicked
152,2025-10-02,Converted
153,2025-10-02,Opened
154,2025-10-02,Opened
154,2025-10-02,Opened
154,2025-10-02,Converted
154,2025-10-02,Opened
155,2025-10-02,Opened
156,2025-10-02,Clicked
156,2025-10-02,Converted
156,2025-10-02,Opened
156,2025-10-02,Clicked
157,2025-10-02,Clicked
157,2025-10-02,Opened
157,2025-10-02,Converted
157,2025-10-02,Ignored
158,2025-10-02,Clicked
158,2025-10-02,Converted
158,2025-10-02,Opened
158,2025-10-02,Clicked
159,2025-10-02,Ignored
159,2025-10-02,Ignored
159,2025-10-02,Opened
159,2025-10-02,Opened
159,2025-10-02,Clicked
160,2025-10-02,Clicked
160,2025-10-02,Clicked
