customer_id,age,gender,city,job_role,employment_type,income,credit_score,savings_rate,existing_loan_balance,account_balance,joined_date
1,23,Male,Bengaluru,Designer,Freelance,740981,608,0.5,0,353569,2022-12-10
2,33,Female,Kolkata,Banker,Freelance,1771241,433,0.13,0,306306,2023-08-18
3,29,Male,Hyderabad,Software Engineer,Freelance,1619689,599,0.37,83478,443436,2022-02-14
4,35,Male,Gurugram,Software Engineer,Freelance,1016380,748,0.37,802693,98080,2021-07-23
5,31,Non-binary,Mumbai,Consultant,Salaried,636927,309,0.13,0,79731,2020-10-11
6,34,Non-binary,Bengaluru,Product Manager,Salaried,1087589,456,0.38,342788,292323,2023-01-14
7,23,Non-binary,Delhi,Banker,Freelance,1180329,645,0.47,0,439056,2025-01-18
8,38,Female,Gurugram,Data Scientist,Freelance,1544147,689,0.51,255275,222848,2021-08-15
9,31,Female,Kolkata,Sales,Contract,938022,470,0.48,803445,206824,2025-01-10
10,36,Female,Hyderabad,Data Scientist,Freelance,753118,814,0.19,0,463891,2024-02-16
11,26,Male,Bengaluru,Banker,Freelance,358869,312,0.42,986080,85222,2021-07-12
12,35,Male,Gurugram,Sales,Contract,771767,460,0.02,679122,265557,2022-01-30
13,24,Non-binary,Bengaluru,Consultant,Salaried,1305244,374,0.06,530602,82557,2024-02-21
14,32,Non-binary,Mumbai,Product Manager,Freelance,406168,371,0.16,0,485836,2022-04-29
15,37,Male,Delhi,Data Scientist,Freelance,853815,476,0.28,405199,21302,2021-10-03
16,24,Male,Kolkata,Software Engineer,Salaried,1598655,474,0.24,0,343308,2023-03-06
17,25,Male,Delhi,Sales,Freelance,1540629,798,0.03,276822,403900,2025-09-13
18,27,Non-binary,Delhi,Software Engineer,Freelance,1736160,611,0.29,0,399273,2024-09-16
19,32,Female,Gurugram,Sales,Contract,419529,534,0.08,962902,47424,2025-04-26
20,27,Female,Mumbai,Consultant,Freelance,1240531,380,0.22,0,88226,2024-05-20
21,39,Male,Delhi,Banker,Freelance,1894735,402,0.08,419393,78268,2023-01-14
22,24,Female,Mumbai,Software Engineer,Freelance,1055109,681,0.28,736545,220235,2021-10-28
23,35,Female,Bengaluru,Designer,Salaried,1463914,728,0.4,0,297235,2025-09-14
24,38,Male,Pune,Data Scientist,Salaried,1528347,732,0.07,164665,143790,2024-09-30
25,31,Female,Delhi,Banker,Freelance,471080,816,0.01,986624,50698,2024-05-18
26,25,Non-binary,Pune,Designer,Contract,1229439,559,0.58,545125,415354,2021-06-29
27,29,Female,Kolkata,Banker,Freelance,709324,517,0.39,979783,280483,2021-10-30
28,39,Female,Chennai,Designer,Contract,1281589,762,0.01,0,148508,2024-08-21
29,23,Female,Mumbai,Software Engineer,Freelance,757754,469,0.44,490184,342757,2023-02-21
30,35,Female,Chennai,Data Scientist,Contract,1671976,388,0.43,0,219284,2023-08-18
31,34,Non-binary,Kolkata,Consultant,Contract,1615829,765,0.37,0,402759,2022-12-20
32,30,Male,Mumbai,Sales,Contract,1097490,782,0.44,0,259789,2022-08-16
33,30,Non-binary,Mumbai,Banker,Freelance,611243,483,0.08,0,26621,2025-09-26
34,37,Female,Bengaluru,Sales,Salaried,1013267,460,0.23,558079,470063,2025-06-29
35,35,Female,Hyderabad,Data Scientist,Contract,632022,335,0.56,991917,376474,2025-09-22
36,34,Male,Delhi,Product Manager,Freelance,1784712,342,0.25,0,435710,2022-08-09
37,25,Male,Chennai,Consultant,Freelance,1860496,740,0.43,200013,151576,2023-09-10
38,34,Male,Mumbai,Designer,Contract,1340340,687,0.48,0,259408,2022-08-17
39,25,Female,Gurugram,Sales,Contract,1562012,843,0.29,151303,79537,2024-07-25
40,28,Female,Hyderabad,Designer,Freelance,647553,538,0.55,0,13111,2024-12-28
41,30,Non-binary,Hyderabad,Software Engineer,Freelance,570766,794,0.58,864302,361429,2021-04-03
42,24,Male,Hyderabad,Consultant,Freelance,864534,754,0.55,0,192420,2021-03-19
43,40,Non-binary,Mumbai,Designer,Contract,1859687,643,0.2,362131,77163,2023-12-08
44,30,Female,Gurugram,Data Scientist,Salaried,675819,659,0.26,0,353371,2022-09-21
45,34,Male,Pune,Consultant,Freelance,1134343,450,0.13,787567,322212,2025-02-14
46,29,Non-binary,Kolkata,Designer,Salaried,1020438,779,0.03,128668,438591,2025-03-25
47,24,Male,Bengaluru,Sales,Salaried,1035928,461,0.27,0,203184,2023-12-20
48,24,Male,Chennai,Software Engineer,Salaried,1869790,663,0.48,0,179678,2022-03-08
49,31,Non-binary,Hyderabad,Banker,Salaried,1969072,545,0.26,795322,456915,2022-01-21
50,28,Male,Mumbai,Product Manager,Contract,1409726,351,0.38,769603,219440,2024-07-28
51,24,Male,Bengaluru,Product Manager,Salaried,1714762,838,0.57,0,60969,2023-10-27
52,37,Male,Kolkata,Designer,Contract,899266,305,0.16,0,439803,2022-10-14
53,23,Non-binary,Mumbai,Consultant,Contract,981396,389,0.35,0,371639,2021-06-08
54,25,Female,Gurugram,Designer,Contract,1169650,790,0.07,0,235495,2022-05-01
55,40,Male,Hyderabad,Sales,Contract,555786,769,0.32,115317,475864,2024-12-29
56,32,Non-binary,Delhi,Data Scientist,Freelance,1800844,594,0.43,0,155235,2022-01-05
57,25,Female,Bengaluru,Designer,Freelance,431114,405,0.52,669130,110948,2025-08-07
58,40,Male,Bengaluru,Designer,Contract,1786257,400,0.02,0,445943,2021-12-15
59,33,Female,Bengaluru,Banker,Salaried,1403685,681,0.22,0,244600,2025-03-13
60,27,Non-binary,Pune,Product Manager,Contract,648223,647,0.23,173101,238341,2022-04-28
61,34,Non-binary,Chennai,Product Manager,Freelance,425636,344,0.49,0,206991,2024-08-27
62,37,Non-binary,Hyderabad,Consultant,Salaried,1383846,624,0.07,0,111306,2022-06-10
63,23,Female,Kolkata,Data Scientist,Salaried,1767439,348,0.02,439027,71645,2023-08-21
64,23,Non-binary,Hyderabad,Software Engineer,Salaried,585954,317,0.01,0,379492,2024-04-10
65,25,Female,Kolkata,Designer,Contract,1030770,505,0.54,701394,329129,2021-05-23
66,24,Female,Kolkata,Banker,Contract,1581491,642,0.43,440053,66547,2020-10-12
67,31,Non-binary,Hyderabad,Consultant,Contract,1213950,678,0.23,0,170906,2025-02-18
68,34,Male,Kolkata,Software Engineer,Contract,1983294,626,0.19,0,50536,2021-04-10
69,26,Female,Bengaluru,Data Scientist,Contract,750221,525,0.26,208433,68234,2020-11-09
70,33,Male,Pune,Banker,Contract,389422,794,0.44,0,84773,2025-08-04
71,34,Non-binary,Gurugram,Product Manager,Freelance,973368,625,0.2,244552,388529,2025-07-21
72,33,Male,Hyderabad,Software Engineer,Salaried,1743395,663,0.5,0,244506,2021-10-16
73,38,Male,Pune,Software Engineer,Freelance,728365,730,0.48,337929,319186,2022-01-14
74,29,Non-binary,Pune,Banker,Contract,1284656,705,0.05,898275,9204,2023-05-03
75,35,Non-binary,Mumbai,Sales,Freelance,1313646,307,0.29,0,151407,2024-01-22
76,38,Female,Kolkata,Consultant,Contract,1377392,512,0.06,0,150972,2021-08-30
77,29,Male,Mumbai,Software Engineer,Salaried,1674515,735,0.06,0,166199,2025-03-30
78,29,Male,Mumbai,Banker,Contract,1491153,463,0.36,0,360017,2023-12-22
79,39,Male,Pune,Software Engineer,Contract,975711,742,0.02,572133,355450,2022-07-12
80,40,Female,Pune,Data Scientist,Contract,473196,621,0.55,0,426549,2022-09-14
81,25,Non-binary,Pune,Data Scientist,Freelance,478745,346,0.16,0,52941,2023-09-06
82,34,Non-binary,Chennai,Designer,Salaried,1095934,575,0.25,725661,239773,2022-06-22
83,25,Male,Bengaluru,Software Engineer,Freelance,622028,520,0.48,0,451905,2023-06-15
84,25,Female,Delhi,Data Scientist,Freelance,775767,770,0.58,0,361758,2025-01-05
85,35,Non-binary,Bengaluru,Sales,Contract,1612355,343,0.54,0,68996,2025-09-30
86,29,Female,Hyderabad,Product Manager,Freelance,366050,731,0.59,0,302637,2021-05-28
87,38,Male,Gurugram,Designer,Freelance,1875992,598,0.48,0,486768,2021-04-15
88,36,Non-binary,Hyderabad,Product Manager,Contract,1863349,627,0.11,0,388471,2025-07-12
89,30,Female,Chennai,Designer,Contract,1420601,824,0.16,0,378234,2021-12-06
90,24,Non-binary,Bengaluru,Designer,Freelance,1777120,572,0.25,899380,26571,2024-10-15
91,26,Female,Chennai,Data Scientist,Contract,1198068,817,0.02,0,59991,2020-11-15
92,28,Female,Kolkata,Sales,Contract,327124,779,0.14,345348,492636,2024-10-25
93,36,Male,Gurugram,Software Engineer,Contract,1199781,328,0.27,0,219485,2025-06-29
94,24,Male,Hyderabad,Consultant,Freelance,618181,679,0.12,790729,263543,2021-05-18
