customer_id,age,gender,city,job_role,employment_type,income,credit_score,savings_rate,existing_loan_balance,account_balance,joined_date
1,37,Female,Delhi,Software Engineer,Freelance,1998831,300,0.26,0,136607,2024-02-04
2,32,Non-binary,Hyderabad,Software Engineer,Salaried,1371036,355,0.6,931026,151148,2022-08-09
3,38,Non-binary,Pune,Consultant,Salaried,1317618,418,0.6,4973,260972,2025-10-01
4,28,Male,Jaipur,Consultant,Contract,483079,790,0.5,24458,157441,2025-09-07
5,23,Female,Ahmedabad,Software Engineer,Freelance,1053082,694,0.48,140083,70371,2022-12-18
6,32,Female,Indore,Data Scientist,Salaried,1147416,530,0.5,235933,35753,2023-09-11
7,27,Non-binary,Hyderabad,Banker,Salaried,716568,566,0.2,0,125747,2023-05-22
8,26,Non-binary,Hyderabad,Sales,Contract,1961119,721,0.08,15296,189039,2021-09-02
9,37,Non-binary,Surat,Product Manager,Contract,1998831,615,0.54,556087,1052,2025-10-01
10,33,Non-binary,Kolkata,Data Scientist,Salaried,1560524,491,0.35,976588,35546,2022-08-11
11,38,Non-binary,Kolkata,Product Manager,Freelance,1840911,570,0.36,0,338537,2020-10-03
12,27,Non-binary,Mumbai,Product Manager,Salaried,1517053,597,0.47,0,59431,2022-09-12
13,24,Male,Nagpur,Banker,Salaried,571917,491,0.48,513517,389829,2022-10-24
14,31,Male,Lucknow,Designer,Freelance,1998831,703,0.37,37011,261938,2022-03-24
15,27,Non-binary,Mumbai,Sales,Salaried,1054273,358,0.52,265546,1052,2020-10-03
16,33,Non-binary,Kolkata,Consultant,Salaried,1712205,799,0.39,37786,40296,2021-07-28
17,38,Non-binary,Kolkata,Banker,Contract,1698070,646,0.09,12281,488680,2020-12-01
18,40,Male,Nagpur,Software Engineer,Contract,1918133,762,0.5,31282,385418,2025-05-03
19,30,Female,Surat,Sales,Salaried,1736070,300,0.21,0,1052,2025-10-01
20,29,Female,Chennai,Product Manager,Contract,552494,596,0.5,0,1052,2025-04-12
21,40,Non-binary,Ahmedabad,Banker,Contract,1239809,505,0.06,122447,20231,2021-09-20
22,40,Female,Bengaluru,Designer,Freelance,491050,640,0.6,17029,482877,2023-12-26
23,27,Male,Hyderabad,Sales,Contract,1998831,339,0.07,415436,495116,2025-10-01
24,26,Non-binary,Chennai,Data Scientist,Contract,730326,700,0.51,37664,354938,2023-02-03
25,29,Non-binary,Surat,Banker,Salaried,1998831,306,0.05,0,420557,2021-12-11
26,36,Non-binary,Bengaluru,Software Engineer,Contract,300534,797,0.41,285837,304167,2022-11-08
27,40,Non-binary,Surat,Product Manager,Contract,300534,381,0.55,0,89673,2024-07-04
28,40,Male,Delhi,Product Manager,Freelance,1308130,689,0.03,0,43189,2021-07-24
29,34,Non-binary,Delhi,Consultant,Salaried,499695,642,0.16,0,364690,2025-03-19
30,40,Male,Kolkata,Designer,Salaried,1754927,628,0.44,0,499921,2024-04-29
