customer_id,age,gender,city,job_role,employment_type,income,credit_score,savings_rate,existing_loan_balance,account_balance,joined_date
1940815,33,Female,Ahmedabad,Sales,Contract,861023,532,0.12,67524,301366,2022-02-16
12657432,36,Non-binary,Bengaluru,Product Manager,Salaried,1675477,794,0.12,414187,72308,2024-05-28
10174833,40,Non-binary,Kolkata,Product Manager,Freelance,1937555,600,0.1,3476,212456,2024-09-15
16497775,27,Non-binary,Pune,Designer,Freelance,1518608,668,0.06,999132,465717,2024-09-28
6164702,38,Non-binary,Kolkata,Consultant,Salaried,657724,362,0.51,22795,54426,2024-09-01
10055941,38,Non-binary,Chennai,Designer,Freelance,712131,490,0.33,11920,93446,2025-02-24
647269,30,Male,Bengaluru,Designer,Freelance,1647651,375,0.28,785392,92222,2025-09-23
12404636,37,Non-binary,Delhi,Sales,Contract,741429,555,0.25,10964,215771,2025-06-03
11409015,32,Female,Vadodara,Software Engineer,Contract,1431187,512,0.18,998689,401380,2024-11-05
7953818,39,Male,Hyderabad,Software Engineer,Freelance,672674,680,0.58,363185,51609,2021-11-29
13594838,28,Female,Indore,Banker,Freelance,1092343,801,0.05,84,278158,2022-10-03
14633273,39,Female,Chennai,Software Engineer,Salaried,983877,386,0.07,116914,121671,2021-02-15
13182764,36,Male,Vadodara,Data Scientist,Contract,726714,359,0.02,165779,467153,2025-08-28
13866982,34,Non-binary,Pune,Product Manager,Contract,1430708,550,0.01,20475,275779,2021-07-30
8930420,25,Non-binary,Vadodara,Data Scientist,Freelance,1147939,613,0.35,574520,63020,2025-01-15
8845660,37,Non-binary,Surat,Data Scientist,Freelance,1773528,701,0.29,116245,266825,2025-02-14
4373876,37,Male,Mumbai,Designer,Freelance,1326567,358,0.4,985777,274549,2024-06-15
5441167,25,Female,Hyderabad,Product Manager,Contract,552572,365,0.53,73755,405905,2024-06-03
5268443,33,Male,Surat,Designer,Contract,1439772,479,0.27,535471,404075,2022-03-05
6586643,26,Male,Indore,Data Scientist,Freelance,600001,501,0.6,5728,160300,2025-07-26
11377900,38,Male,Indore,Consultant,Salaried,1239295,728,0.06,91978,332402,2020-10-08
3124586,25,Non-binary,Ahmedabad,Data Scientist,Freelance,878441,787,0.58,698220,162987,2022-04-01
1986143,23,Non-binary,Surat,Product Manager,Salaried,813405,769,0.13,14988,262572,2021-05-16
